id,survey1,first,middle,last,ecig1,monthuse,tob1,gender,hisp,race,dob,famhx
297,12/03/15,Dennis,Hooper,Stafford,0,,0,m,0,1,4/15/1989,0
232,12/16/15,Quinn,Archer,Paine,0,,0,f,1,4,1/21/1990,9
337,04/22/15,Prince,Justin,Turniphead,0,,0,m,0,1,1/5/1991,1
699,06/22/15,Lucy,,Pevensie,0,,0,f,1,4,1/9/1991,0
536,11/01/15,Jamal,Nathanial,Hall,1,8,1,m,0,3,1/14/1991,1
346,03/22/15,Neville,,Longbottom,0,,0,m,0,1,1/17/1991,9
742,07/18/15,Minerva,,McGonagall,0,,0,f,0,4,1/18/1991,9
714,06/15/15,Edmund,,Pevensie,0,,1,m,0,4,1/20/1991,9
141,03/19/15,Brickle,Dwarf,thumb,1,10,1,m,0,1,2/5/1991,0
569,03/10/15,Witch,Of the,Waste,0,,0,f,1,1,2/7/1991,9
175,03/03/15,Poorna,Mountain,Malavath,0,,0,f,0,4,2/14/1991,0
258,03/02/15,Sirius,,Black,0,,0,m,0,4,2/15/1991,0
550,01/05/15,Aberforth,Brother,Bings,0,,0,m,0,1,2/20/1991,1
275,02/27/15,Elizabeth,Batty,Penderwick,0,,0,f,0,4,2/21/1991,0
760,05/14/15,Mopsy,,Rabbit,0,,0,f,0,3,3/9/1991,0
730,09/05/15,Owen,Perry,Foster,0,,0,m,0,1,3/15/1991,0
746,02/03/15,Melinda,,Foster,10,,0,f,1,1,3/17/1991,0
270,07/19/15,Sofia,Mia,Chapman,0,,0,f,0,1,3/18/1991,9
623,05/03/15,Brenda,Reese,Aarons,0,,0,f,1,4,3/20/1991,0
32,05/05/15,Silena,,Beauregarde,1,4,1,f,0,3,4/5/1991,0
26,10/04/15,Nancy,King,Blue,0,,0,f,1,4,4/7/1991,0
70,10/09/15,Josiah,Nathan,Flethcher,0,,0,m,1,4,4/9/1991,1
301,03/21/15,Millicent,,Bulstrode,0,,1,f,0,4,4/14/1991,0
93,06/25/15,Isabella,Jones,Taylor,0,,0,f,1,1,4/17/1991,0
638,02/20/15,Maryam,Math,Mirzakhani,0,,1,f,1,4,4/18/1991,0
679,07/25/15,Yasuko,,Kusakabe,0,4,0,f,1,4,4/20/1991,1
803,05/09/15,Louisa,May,Alcott,0,,0,f,1,2,4/21/1991,0
1,02/05/15,Lars,Knight,Hanson,0,,0,m,0,1,5/1/1991,0
526,01/23/15,Albert,Quinn,Nurgaiv,1,6,1,m,0,4,5/5/1991,1
621,03/17/15,Carla,Denton,Bunny,0,,0,f,0,4,5/7/1991,0
411,08/30/15,Muriel,,Stacy,0,,0,f,0,2,5/9/1991,0
749,06/03/15,Anne,Dean,Hatcher,0,,0,f,0,4,5/14/1991,0
249,11/05/15,Audrey,Webster,Lyon,1,23,1,f,0,4,5/15/1991,9
111,05/13/15,Peter,Pumpkin,Eater,1,3,1,m,1,4,5/17/1991,0
374,01/01/14,Jeanne,Alice,Seymour,0,,0,f,0,1,5/18/1991,0
489,01/15/15,Ben,Jeremy,Weatherstaff,0,,0,m,1,4,5/20/1991,1
58,08/22/15,Joshua,Wyatt,Burns,0,,0,m,0,1,5/21/1991,0
676,05/12/15,Beth,Messiah,March,0,,0,f,0,3,6/1/1991,0
298,06/12/15,Ginny,,Weasley,1,12,1,f,0,1,6/5/1991,0
228,04/05/15,Hoggle,Hedgehog,Stock,0,,0,m,1,3,6/7/1991,0
549,09/23/15,Barbara,Reagan,Park,0,,0,f,0,1,6/9/1991,0
403,09/04/15,Nora,Wheeler,Webster,0,,1,f,1,2,6/14/1991,9
225,09/27/15,Clemantine,,Wamariya,0,,0,f,0,1,6/15/1991,0
772,01/27/15,Eliza,Jane,Wilder,1,2,1,f,0,4,6/17/1991,1
726,04/22/15,Catherine,Kitty,Bennet,0,,0,f,0,4,6/18/1991,0
458,02/14/15,Anradin,Pitt,Tarkaan,0,,0,m,1,1,6/20/1991,0
770,01/06/14,Mary,,Lennox,0,,0,f,1,4,6/21/1991,0
685,02/10/15,Alice,,Longbottom,0,,0,f,0,4,7/1/1991,0
673,09/26/15,Lincoln,Fletcher,Carroll,0,,1,m,0,1,7/5/1991,0
267,10/19/15,Flo,,Miller,0,,1,f,0,4,7/7/1991,0
393,01/10/15,Thorfinn,,Rowle,1,2,0,m,0,1,7/9/1991,9
46,07/31/15,Lucus,Bell,Lee,0,,0,m,0,1,7/14/1991,0
606,07/27/15,Jacob,King,Baker,0,,0,m,1,1,7/15/1991,0
123,08/31/15,Augustus,Holloway,Gloop,0,,0,m,0,2,7/17/1991,1
238,03/25/15,Miss,Teacher,Bunda,1,6,0,f,0,4,7/18/1991,0
52,03/14/15,Bonnie,Anne,Cleary,0,,0,f,1,,7/20/1991,0
480,07/17/15,Lee,,Jordan,0,,0,m,1,3,7/21/1991,1
399,10/22/15,Minera,Pena,Whatsit,0,,0,f,1,4,8/1/1991,0
